id,non-commonsense-statement,sentence1,sentence2,sentence3,label
135,تذوب الطاولة في درجة حرارة الغرفة.,الطاولات مربعة أو مستديرة دائمًا بينما يكون الثلج مبللاً.,لا تجمد الطاولات في الثلاجة.,الطاولة لا يذوب في درجة حرارة الغرفة.,2
136,مشى إلى المريخ,المريخ أكبر من المتجر,المريخ لونه أحمر,المريخ كوكب آخر,2
137,رفع جرار بيديه.,الجرارات دائما صفراء بينما الدف خشبي.,الجرار ثقيل للغاية بحيث لا يمكن رفعه بيديه.,لا يمكن للجرار لمس الدف.,1
138,قام دوايت بقطع جبل,الأشجار أكثر شيوعًا من الجبال,تنمو الأشجار أسرع من الجبال,الجبال أكبر بكثير من الأشجار,2
139,سبح في الحمم البركانية,الحمم البركانية ساخنة جدًا بحيث لا تستطيع السباحة فيها,الحمم حمراء ولا يحب الأحمر,لا يحب رائحة الحمم البركانية,0
140,وضع الحصان في محفظته.,الحصان أكبر بكثير من المحفظة.,عادة ما تكون الخيول بنية اللون بينما تكون المحافظ حمراء.,لا يستخدم الحصان محفظة.,0
141,كتبت المرأة القصة بملعقة على الورق,الملعقة بنفس حجم قلم الرصاص.,الملعقة أصعب من الورق كله,لا يستطيع الشخص تدوين شيء بالملعقة.,2
142,أكلت الفتاة الطوب,الطوب ليست لذيذة,الطوب أحمر للغاية بحيث لا يؤكل,لا يمكن لاحد أن يأكل الطوب,2
143,السيوف تستخدمني,السيف ليس حيا,السيف مصنوع من المعدن,أنا انسان,0
144,الرجل يطير سيارته كل يوم,هناك سيارات مع مفسدين,الطائرات والسيارات لديها محركات.,السيارات لها عجلات ولا يمكنها الطيران,2
145,كانت في حاجة إلى الاتصال بأمها لكنها لم تتمكن من العثور على مفاتيح سيارتها,مفاتيح السيارة حادة ويمكن أن تخدش شاشة هاتفك,مفاتيح السيارة مخصصة لقفل السيارة أو فتحها بدلاً من الاتصال بالأشخاص,لا تستخدم مفاتيح السيارة لقفل المنزل,1
146,قدم العشاء الكرة,الكرات مصنوعة من مواد لا يمكنك تناولها,الكرات الأرضية أكثر دقة من خرائط القطب الشمالي والجنوبي,يمكن أن تنكسر الكرات وقد يكون من الخطر حملها إلى مائدة العشاء.,0
147,ذهب إلى صالون التجميل لأنه يشعر بالجوع,صالون التجميل به مقص وكرسي ومرآة فقط لا يستطيع أكله,صالون التجميل لا يوفر الطعام,هناك أنواع مختلفة من المطاعم والطعام لتناول الطعام للتغلب على جوعه,1
148,ضرب البيانو,لم يكن للبيانو طبول,تم إغلاق البيانو,"البيانو هو أداة نعزف بها، لا نضربها",2
149,سيكون اليوم 30 ساعة,يوم واحد يتكون من 24 ساعة بينما 30 ساعة تتكون من يوم واحد و 6 ساعات,يوم واحد هو 24 ساعة فقط,30 ساعة لا تناسب يوم واحد,1
150,الكوب مخصص لحمل الغاز الذي تخطط لشربه.,لا يمكنك شرب الغازات.,لا يتناسب الغاز مع الكؤوس.,فقط السوائل يمكن أن تدخل في الكؤوس.,0
151,ألبس أسداً,الأسد هو حيوان ثديي,الأسد يأكل الوجبة,الأسد حيوان بري وليس ثيابا,2
152,ألقى سندان في السلة.,السندان ثقيل جدًا بحيث لا يمكن رميه في سلة.,عادة ما تكون السندان سوداء بينما تكون السلال بيضاء.,السندان لا تلعب الكرة في السلة.,0
153,أحب أكل الآيس كريم المطبوخ,يذوب الآيس كريم عند طهي غير البيض,الآيس كريم لا تطبخ,الآيس كريم ليس للطهي,2
154,أكل رافعة.,الرافعات دائمًا ما تكون معدنية بينما الشواء أحمر.,الرافعة والمصنوعة من المعدن لا تصلح للأكل.,الرافعة لا تستطيع أن تأكل الشواء.,1
155,رقص على الملعقة,الملعقة إناء,ملعقة ليست مسطحة,لا يحب الملعقة,0
156,المناظر الطبيعية هي لوحة أو صورة تركز على وجه الشخص,تقوم بتصوير المناظر الطبيعية الأرض بدلاً من الأفراد,يمكن التقاط أي منظر طبيعي في لوحة أو صورة,يتطلب رسم وجه الشخص بعض المهارة,0
157,أكل الطفل الطين من على وجهه.,لا يلعب الأطفال في الوحل.,البشر لا يأكلون الطين.,الأطفال لديهم حساسية من الطين.,1
158,قام رجل بتذويب الدجاج باستخدام ولاعة.,لهب أفتح حار جدا لاذابة الدجاج.,لا يمكنك تذويب الدجاج باستخدام ولاعة لأن الحرارة المتولدة صغيرة جدًا وتركز على جزء واحد فقط من الدجاج.,ينفتح الولاعة بسهولة كبيرة ولا يمكنها الحفاظ على اللهب لفترة كافية لإذابة الثلج.,1
159,كان يمشي على الماء؟,يمكن أن تتحلل كتلة الجسم من الماء.,لا يحتوي الماء على سطح صلب يحمل شخصًا فوقه.,لا يمكن إيقاف الماء.,1
160,سمكة قرش تكلم سمكة.,أسماك القرش والأسماك لا تتحدث.,أسماك القرش أكبر من الأسماك.,يوجد عدد أكبر من الحروف في كلمة القرش من الأسماك.,0
161,رفعت جرار.,غالباً ما تكون الجرارات سوداء بينما الكراسي خضراء.,لا يستطيع الجرار الجلوس على الكرسي.,جرار ثقيل جدا لشخص واحد.,2
162,تقوم بإجراء مكالمة بجانب الموقد.,الموقد ساخن والهاتف بارد.,الموقد للطهي.,يرن الموقد ولا يهتز.,1
163,تشرق الشمس في الليل,"الشمس في النهار فقط ، الليل يظهر القمر",لا يمكن أن يكون هناك شمس في النهار,لا تظهر الشمس في الليل,2
164,يأكل الكتاب,الكتاب مصنوع من الورق,الكتاب ليس حيا,الكتاب مفيد,1
165,تكتب المرأة في السماء.,السماء ليس لها صفحات مثل الكتاب.,"عادة ما تكون السماء زرقاء ، في حين أن الكتب ذات الألوان المختلفة.",لا تستطيع الكتب الكتابة في السماء.,0
166,بلد liegenpoofa موجود,Liegenpoofa موجود في سلسلة Lord of the Rings,الدنمارك موجودة ولكن Liegenpoofa ليست موجودة,Liegenpoofa ألمانية بتهمة الاتهام المكثف,1
167,لن تجد الغبار على سطح المكتب.,ينمو الغبار فوق سطح المكتب مثل النبات.,يتراكم الغبار على سطح المكتب بشكل طبيعي مع مرور الوقت بسبب الأبواغ في الهواء.,سطح المكتب هو البيئة المفضلة للغبار.,1
168,الكلاب تأكل أسلاك التمديد.,"يمكن أن يكون طعام الكلاب رطبًا أو جافًا ، ويجب أن تكون أسلاك التمديد جافة.",الكلاب لا تستطيع هضم النحاس والبلاستيك.,أسلاك التمديد غير صالحة للأكل.,2
169,يحب الأطفال غسل الملابس,يكره العديد من الأطفال قراءة القصص,يُنظر إلى الغسيل عمومًا على أنه نشاط ممل,قصص الغسيل وقراءة كلا النشاطين,1
170,يمكنك الاستحمام في الخلاط,يحتوي الخلاط على ماء بارد فقط,الخلاط صغير جدًا,قد يحتوي الخلاط على خردل,1
