id,sentence1,sentence2,label
326,يضع لحم الخنزير على شطيرة.,يضع المسامير على شطيرة,0
327,شيء تجده في غرفة المعيشة هو الفهد,شيء تجده في غرفة المعيشة هو كرسي,1
328,الثعلب حيوان,الثعلب طائر,0
329,يفرك المستحضر على السلة,يضع المستحضر في السلة,1
330,من المحتمل أن تواجه حادث سيارة داخل المنزل,من المحتمل أن تواجه حادث سيارة على الطريق,1
331,لا أحد يريد العيش مع الفئران,لا أحد يريد العيش مع قطة,0
332,قرأ كتابا في الجدول,قرأ خزانة في الجدول,0
333,القط الرمادي يطارد فأر صغير بعيدًا,يطارد الفأر الصغير قطة رمادية,0
334,ذهبت إلى متجر الملابس لإجراء عملية جراحية.,ذهبت إلى المستشفى لإجراء عملية جراحية.,1
335,تصدر لوحة المفاتيح صوتًا رشيقًا عند كتابتها.,تصدر لوحة المفاتيح صوت نقر عند كتابتها.,1
336,الكيك هو عنصر غذائي شائع في حفلات أعياد الميلاد.,الطباشير عنصر غذائي شائع في حفلات أعياد الميلاد.,0
337,جوي هو الكنغر الصغير,المروحة هي كنغر صغير,0
338,قاد سيارته في الشارع.,قاد سيارته أسفل النهر.,0
339,السيارات لديها أربع عجلات,السيارات لديها عشر عجلات,0
340,نقر على شاشة الكمبيوتر مع الكلب,نقر على شاشة الكمبيوتر بالماوس,1
341,سوف تلد بعد 9 شهور من الحمل,سوف تلد بعد شهرين من الحمل,0
342,جواز السفر ضروري للسفر من مطعم إلى آخر.,جواز السفر ضروري للسفر من دولة إلى أخرى.,1
343,إن رائحة جوناثان جيدة عندما تكون القمامة العضوية قريبة,رائحة جوناثان سيئة عندما تكون القمامة العضوية قريبة,1
344,النفق هو وسيلة للانتقال من جانب إلى جانب فوق الماء.,سفينة الفضاء هي وسيلة للانتقال من جانب واحد إلى طريق الماء إلى جانب آخر.,0
345,اشترى هدية لحفل زفاف صديقه,اشترى هدية لجنازة صديقه,0
346,قامت بوضع واقي الشمس على وجهها في الصيف,قامت بوضع معجون الأسنان على وجهها في الصيف,0
347,أربعة أرباع تساوي واحدة كاملة.,سبعة أرباع تساوي واحدة كاملة.,0
348,التفاح ينمو على الأشجار,تنمو الهواتف على الأشجار,0
349,يمكن مسح قلم الرصاص بسهولة أكثر من قلم التلوين,يمكن محو العلامة الدائمة بسهولة أكبر من التلوين,0
350,من المحتمل أن تدخل الجامعة مع اجتيازها في الامتحان التأهيلي,من المحتمل أن تدخل الجامعة مع فشلها في الامتحان التأهيلي,0
351,اتصل بزوجته على هاتفها النقال,اتصل بزوجته على قلمها,0
352,وضعت كلبا في السيارة.,وضعت القطار في السيارة.,0
353,لوح الخشب عائم على البحيرة,كان لوح الصلب يطفو على البحيرة,0
354,قام بتخزين ملفات الموسيقى في محرك القلم,قام بتخزين الأرز في محرك القلم,0
355,يحتاج الرضيع إلى الشمس والماء والتربة لكي يزدهر.,يحتاج نبات الريحان إلى الشمس والماء والتربة لكي يزدهر.,1
356,أنا أقود سيارة للعمل كل يوم,أركب النمر للعمل كل يوم,0
357,يمكنك استخدام بركة لوضع الفيل,يمكنك استخدام حمام السباحة,1
358,قادت الشاحنة على الطريق السريع.,قاد الشاحنة من قارة إلى قارة.,0
359,انا مَشيتُ على الماءِ,مشيت على الأرض,1
360,هناك أربعة مقاعد حول الطاولة,هناك أربعة جبال حول الطاولة,0
361,ركبت الفتاة الدراجة.,ركبت النملة الدراجة.,0
362,فحص الوقت على حذائه,نظر إلى ساعته.,1
363,حكم على المجرم بالسجن لمدة عامين.,حكم على المجرم بسنتين في المكتبة.,0
364,كان يسبح في أرض,كان يسبح في حمام سباحة,1
365,يمتلك بيل جزيرتين في بلجيكا,لدى بيل صديقين في بلجيكا,1
366,ذهب الأرنب أسفل الحفرة.,ذهب وحيد القرن أسفل الحفرة.,0
367,يأكل كلبي الدجاج على العشاء.,يأكل كلبي الخشب على العشاء.,0
368,تناول الكثير من الأطعمة السكرية يمكن أن يسبب السمنة,تناول الكثير من الرمل يمكن أن يسبب السمنة,0
369,ولوح بيده على أصدقائه,ولوح بيديه على دراجته,0
370,أوقف جون سيارته في المرآب,أوقف جون سيارته في الحمام,0
371,كان يقرأ كتابًا,كان يأكل كتابًا,0
372,يجب على الشخص ممارسة المزيد من الرياضة  لأجل حياة أطول,يجب على الشخص أن يأكل المزيد من اللحم ليعيش حياة أطول,0
373,كان يحب الطعام الذي يقدمه الشيف,كان يحب الطعام الذي قدمه الكلب,0
374,دخل السرير للنوم.,دخل حوض الاستحمام للنوم.,0
375,يجب طهي لحم البقر عند 325 درجة لمدة 3 ساعات,يجب طهي حساء اللحم البقري عند 3250 درجة لمدة 36 ساعة,0
376,الطعام يأكلها كثيرا.,تأكل الكثير من الطعام.,1
377,ستجد دائمًا نوافذ على مبنى,يمكنك العثور على نوافذ على مبنى,1
378,من المستحسن وضع الأطفال في المدرسة في سن السادسة,من المستحسن وضع الأطفال في السجن في سن السادسة,0
379,الذهاب للعمل هو لكسب المال.,العمل سيجني المال.,0
380,يستخدم الطالب قلم رصاص لإجراء الاختبار,يستخدم الطالب عصا لإجراء الاختبار,0
381,المحفظة هي طريقة عصرية لحمل العناصر الأساسية.,المحفظة هي طريقة عصرية لحمل الشفرات الدوارة.,0
382,طائرة ورقية تبكي في الهواء.,طائرة ورقية تطير في الهواء.,1
383,ذهب إلى المسرح للقيام بقص الشعر,ذهب إلى الصالون لعمل قص شعر,1
384,"عند القيادة ، من المهم إبقاء كلا القدمين على عجلة القيادة.","عند القيادة ، من المهم إبقاء كلتا يديك على عجلة القيادة.",1
385,أخذ حيوانه إلى طبيب بيطري للعلاج,أخذ حيوانه إلى رسام للعلاج,0
386,كل الرجال يعضون الكلاب,بعض الكلاب تعض الرجال,1
387,القبض على اللص رجال الشرطة,اعتقل رجال الشرطة اللص,1
388,وضعت أمي الطفل في زحليقة الماء لتذهب إلى الحديقة,وضعت أمي الطفل في عربة المشي على الحديقة,1
389,كانت في نفس مدرستي,ذهبت إليها المدرسة,0
390,يقود الباخرة في وظيفته.,يقود باخرة في وظيفته في الملعب.,0
391,كان يأكل العشب,كان يأكل الكعكة,1
392,ستأكل الغداء لأنك جائع,ستأكل الحصان لأنك جائع,0
393,سافر إلى أوروبا عن طريق الطيور.,سافر إلى أوروبا بالطائرة.,1
394,قام الرجل بإلقاء القمامة في فمه,قام الرجل بإلقاء القمامة في سلة المهملات,1
395,"بعد رمي الكرة لأعلى ، ستنزل مرة أخرى","بعد رمي الكرة لأعلى ، ستستمر في الصعود",0
396,تقفز بعض القرود من فرع إلى آخر على شجرة,تقفز بعض الكلاب من فرع إلى آخر على شجرة,0
397,الكبار لديهم وظائف.,الأطفال لديهم وظائف.,0
398,عادة ما يأكل الناس الحساء بالسكاكين,عادة ما يأكل الناس الحساء مع الملاعق,1
399,فتح الباب,فتح الجدار,0
400,طهي الأرز في المقلاة.,قامت بطهي الأرز في حوض الاستحمام.,0
401,أعطاها صخرة في عيد ميلادها.,أعطاها قلادة لعيد ميلادها.,1
402,استبدل المصباح في المصباح بمصباح LED جديد,استبدل المصباح في المصباح بسمك السلمون,0
403,وضع محطة نووية على السطح,قام إدوارد بتركيب الألواح الشمسية على السطح,1
404,عشرة زائد ستة تساوي عشرة,أربعة زائد ستة يساوي عشرة,1
405,أكلت بسكويت,أكلت عجلة دراجة,0
406,تنظف المنزل كل يوم.,ينظف المنزل السيارات نفسه.,0
407,حلقت الطائرة عاليا في السماء.,طار المراكب الشراعية عالياً في السماء.,0
